OI,Chng in OI,Volume,IV,LTP,Net Chng,Bid Qty,Bid Price,Ask Price,Ask Qty,Strike Price,Bid Qty,Bid Price,Ask Price,Ask Qty,Net Chng,LTP,IV,Volume,Chng in OI,OI
"3,825","-4,500",357,107.20,663.00,-28.75,75,644.60,668.20,75,8200.00,225,230.60,232.00,675,-48.40,230.65,117.73,"40,895","80,925","185,775"
450,450,14,-,621.00,-750.10,75,589.60,738.10,"7,425",8250.00,75,244.00,257.80,600,240.50,246.40,113.65,"2,022","19,500","19,500"
"9,975","-3,225",315,117.38,591.55,-19.35,75,571.60,595.60,150,8300.00,75,257.00,260.00,"1,275",-42.60,259.95,115.04,"39,176","87,525","160,800"
900,900,34,132.90,529.00,-745.40,225,175.55,658.70,"7,425",8350.00,75,250.00,280.00,300,268.10,277.00,112.64,"2,048","19,350","19,350"
"19,575","13,425","1,044",104.58,511.00,-28.65,75,505.00,524.85,75,8400.00,75,291.00,295.00,300,-34.55,295.00,112.78,"39,188","108,150","195,375"
"2,775","2,775",853,102.67,478.65,-700.30,75,468.00,503.40,75,8450.00,225,303.00,318.65,600,-52.20,318.65,111.31,"2,473","7,425","8,250"
"548,625","86,775","22,848",101.25,441.00,-27.35,450,441.00,452.50,150,8500.00,"1,050",320.00,322.85,"1,125",-33.85,320.00,109.66,"155,637","176,775","848,775"
"3,900","3,900","1,562",100.25,410.00,-675.10,75,400.35,427.05,75,8550.00,75,331.90,344.00,75,-55.40,346.00,108.52,"3,956","12,675","13,575"
"125,625","70,275","18,658",98.79,384.00,-19.70,75,379.00,385.00,75,8600.00,75,360.00,361.00,375,-28.50,360.00,107.28,"48,947","133,500","214,950"
"14,175","14,175","3,464",96.39,352.05,-641.15,150,318.10,358.80,150,8650.00,75,381.30,383.90,300,355.20,382.00,106.27,"6,478","16,575","16,575"
"126,600","22,875","34,897",97.01,320.00,-24.25,75,318.85,329.50,75,8700.00,75,400.50,401.00,"2,325",-24.20,401.00,105.46,"44,909","91,425","181,950"
"9,150","9,150","3,243",95.92,296.50,-607.25,75,295.00,303.00,75,8750.00,150,420.00,435.00,75,394.95,432.00,102.51,"2,866","10,350","10,350"
"134,025","61,650","45,928",95.19,272.00,-5.45,75,263.20,272.00,225,8800.00,75,437.55,451.45,75,-127.10,450.00,103.44,"36,950","85,650","85,800"
"12,075","12,075","4,725",92.91,255.95,-561.25,150,241.45,255.95,150,8850.00,75,470.00,490.95,75,439.75,489.95,98.97,"2,176","4,875","4,875"
"83,025","47,325","45,449",92.67,222.00,-4.60,150,213.35,225.00,600,8900.00,75,495.10,510.00,75,451.60,509.60,99.97,"17,541","34,050","34,050"
"10,950","10,950","4,926",91.77,205.00,"-1,327.40",75,195.00,206.45,225,8950.00,75,508.00,539.95,75,538.95,539.95,98.08,"1,660","5,475","5,475"
"771,000","85,350","250,312",90.42,180.00,6.70,300,172.00,180.00,300,9000.00,75,550.05,561.00,75,7.65,560.00,98.49,"54,127","202,875","326,025"
"27,600","26,775","6,732",90.70,162.00,-5.65,75,150.00,162.90,525,9050.00,75,582.60,610.75,75,609.10,610.85,84.94,210,"3,675","3,675"
"185,700","155,625","46,230",88.98,140.65,7.05,150,133.60,143.00,75,9100.00,75,596.70,629.35,75,613.80,616.05,95.48,"1,955","16,650","16,650"
"16,950","16,950","1,552",87.53,140.00,"-1,195.00",75,120.00,139.70,75,9150.00,"7,425",432.50,-,-,630.95,633.90,80.15,71,375,375
"466,800","328,950","80,972",86.80,106.05,2.90,225,106.00,110.00,75,9200.00,75,682.35,695.00,75,691.25,695.00,97.70,"1,295","18,975","18,975"
"19,800","19,800","2,248",86.69,105.10,"-1,132.10",150,82.50,108.45,600,9250.00,"7,425",524.40,-,-,785.20,790.00,85.24,14,225,225
"286,275","171,675","77,554",85.01,87.00,9.45,150,87.00,87.40,675,9300.00,75,734.95,842.35,75,759.05,765.10,96.62,247,"7,125","7,125"
"13,950","13,950","1,679",83.93,85.00,"-1,055.35",75,40.00,85.20,600,9350.00,"7,425",619.40,-,-,857.00,864.60,-,7,225,225
"162,525","126,075","69,645",83.58,67.25,7.25,"1,050",67.25,68.65,75,9400.00,225,822.65,860.50,75,840.10,849.55,77.73,204,"5,175","5,175"
"12,000","12,000",920,82.98,61.00,-983.80,75,51.00,62.00,75,9450.00,"7,425",690.45,-,-,-,-,-,-,-,-
"1,027,800","592,800","215,083",82.17,54.00,6.10,75,53.80,55.30,150,9500.00,75,929.00,934.95,75,926.90,928.00,96.90,"1,362","17,325","17,325"
"6,525","6,525","1,694",82.72,54.30,"-1,421.45",75,44.20,55.00,75,9550.00,150,940.30,"1,074.25",150,893.60,895.05,57.05,1,75,75
"207,525","178,650","57,276",81.60,44.00,6.35,75,42.00,45.00,75,9600.00,75,"1,005.40","1,031.45",75,20.20,"1,040.20",86.03,37,"1,275","1,275"
"2,625","2,625","1,274",81.70,37.00,"-1,494.55",75,35.00,37.00,75,9650.00,150,"1,023.45","1,171.55","7,425",-,-,-,-,-,-
"156,225","129,300","48,029",81.88,35.00,3.60,75,33.15,35.00,300,9700.00,75,"1,094.20","1,120.95",75,"1,088.05","1,088.35",-,12,525,525
"4,875","4,875",332,83.17,27.00,"-1,472.85",75,27.05,34.00,75,9750.00,150,"1,114.35","1,255.70","7,425",-,-,-,-,-,-
"157,875","156,600","44,934",83.15,26.55,1.20,225,26.55,27.40,75,9800.00,75,"1,068.75","1,287.20",75,-,-,-,-,-,-
"2,475","2,475",181,85.64,24.20,"-1,376.50",75,22.05,26.60,150,9850.00,"7,425","1,042.70","1,458.00","7,425",-,-,-,-,-,-
"72,750","72,750","25,362",83.21,22.00,"-1,329.20",75,20.85,23.60,75,9900.00,450,"1,239.20","1,428.00","7,425",-,-,-,-,-,-
"4,575","4,575",665,83.12,19.50,"-1,282.35",75,18.85,22.50,150,9950.00,"7,425","1,098.05","1,575.60","7,425",-,-,-,-,-,-
"1,363,800","936,675","193,570",84.20,17.25,0.05,150,17.25,17.40,150,10000.00,75,"1,385.75","1,402.45",150,-0.85,"1,399.45",100.07,658,"14,625","28,800"
"2,550","2,550",118,81.83,14.50,"-1,188.95",975,15.00,17.50,600,10050.00,"7,425","1,112.70","1,618.85","7,425",-,-,-,-,-,-
"150,600","147,525","21,351",85.05,13.50,-3.15,"1,275",13.00,13.50,975,10100.00,"7,425","1,267.70","1,596.70","7,425",-,-,-,-,-,-
"3,975","3,975",189,83.60,12.15,"-1,594.05",75,12.00,12.15,"1,050",10150.00,"7,425","1,372.95","1,690.40","7,425",-,-,-,-,-,-
"176,550","176,550","14,331",85.12,10.00,"-1,546.85",75,9.00,10.00,75,10200.00,"7,425","1,283.55","1,716.90","7,425",-,-,-,-,-,-
450,450,16,-,9.90,"-1,497.60",150,7.65,11.85,600,10250.00,"7,425","1,448.55","1,794.65","7,425",-,-,-,-,-,-
"133,500","133,500","8,968",85.88,6.80,"-1,451.45",75,6.60,6.80,450,10300.00,"7,425","1,511.40","1,873.30","7,425",-,-,-,-,-,-
-,-,-,-,-,-,150,4.70,19.00,300,10350.00,"7,425","1,550.90","1,925.70","7,425",-,-,-,-,-,-
"92,400","92,400","7,845",85.51,5.50,"-1,354.50","2,250",4.30,5.45,600,10400.00,"7,425","1,595.45","1,957.05","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"1,200",3.70,10.00,300,10450.00,"7,425","1,647.10","2,031.25","7,425",-,-,-,-,-,-
"810,675","657,375","58,190",85.72,4.80,-1.75,75,4.70,4.80,"3,075",10500.00,"7,800","1,406.75","2,072.10",75,-,-,-,-,-,-
-,-,-,-,-,-,75,3.05,14.00,300,10550.00,"7,425","1,717.80","2,149.75","7,425",-,-,-,-,-,-
"5,100","5,100",93,-,1.80,"-1,626.15","14,550",1.25,3.50,375,10600.00,"7,425","1,760.20","2,189.45","7,425",-,-,-,-,-,-
-,-,-,-,-,-,"5,025",1.65,24.00,300,10650.00,"7,425","1,813.45","2,260.45","7,425",-,-,-,-,-,-
"62,850","62,850","2,682",86.74,2.50,"-1,595.20","7,200",2.20,2.50,"4,650",10700.00,"7,425","1,850.45","2,296.00","7,425",0.30,"2,100.50",-,-,-,300
-,-,-,-,-,-,75,2.50,13.00,300,10750.00,"7,425","1,899.80","2,362.90","7,425",-,-,-,-,-,-
"124,200","121,950","4,927",85.86,1.90,-3.70,300,1.85,1.90,"1,650",10800.00,"7,425","1,934.50","2,416.10","7,425",-,-,-,-,-,-
-,-,-,-,-,-,75,1.40,12.40,300,10850.00,"7,425","1,990.05","2,473.80","7,425",-,-,-,-,-,-
"19,800","19,800","1,011",86.26,1.70,"-1,400.50","4,500",1.60,1.80,"1,500",10900.00,"7,425","2,047.25","2,546.45","7,425",-,-,-,-,-,-
150,150,4,-,1.35,"-1,352.30",75,1.35,2.75,75,10950.00,"7,425","2,074.20","2,577.60","7,425",-,-,-,-,-,-
"615,225","481,275","34,823",87.50,1.50,-1.05,"9,225",1.45,1.50,"3,225",11000.00,75,"2,037.90","2,622.30",75,-,-,-,-,-,-
75,75,2,-,1.10,"-1,256.20","5,325",1.10,2.10,75,11050.00,"7,425","2,158.20","2,692.95","7,425",-,-,-,-,-,-
"5,625","5,625",192,90.68,1.40,"-1,208.10",300,1.10,2.00,150,11100.00,"7,425","2,234.50","2,766.90","7,425",-,-,-,-,-,-
150,150,6,111.94,2.60,"-1,159.40",225,1.00,4.00,300,11150.00,"7,425","2,253.75","2,785.25","7,425",-,-,-,-,-,-
"82,650","70,800","2,257",91.19,1.15,-1.15,750,1.15,1.35,150,11200.00,"7,425","2,307.50","2,730.55","7,425",-,-,-,-,-,-
